,bus0,bus1,p_nom,p_nom_diameter,max_pressure_bar,build_year,diameter_mm,length,name,p_min_pu
gas pipeline AT126 <-> AT123,AT126,AT123,345,0,0,1956,0,0,AGGM_pipeline116,-1
gas pipeline AT126 <-> AT123 (2),AT126,AT123,3450,0,0,1967,0,0,AGGM_pipeline117,-1
gas pipeline AT126 <-> AT123 (3),AT126,AT123,6900,0,0,1994,0,0,AGGM_pipeline118,-1
gas pipeline AT125 <-> AT124,AT125,AT124,172,0,0,1986,0,0,AGGM_pipeline119,-1
gas pipeline CZ -> AT125,CZ,AT125,256,0,0,2001,0,0,AGGM_pipeline120,0
gas pipeline AT124 <-> AT123,AT124,AT123,172,0,0,1958,0,0,AGGM_pipeline121,-1
gas pipeline AT124 <-> AT123 (2),AT124,AT123,1150,0,0,1973,0,0,AGGM_pipeline122,-1
gas pipeline AT124 -> AT313,AT124,AT313,12000,0,0,1979,0,0,AGGM_pipeline123,0
gas pipeline AT313 -> AT124,AT313,AT124,15547,0,0,1979,0,0,AGGM_pipeline124,0
gas pipeline AT123 <-> AT121,AT123,AT121,345,0,0,1961,0,0,AGGM_pipeline125,-1
gas pipeline AT123 <-> AT121 (2),AT123,AT121,3450,0,0,1967,0,0,AGGM_pipeline126,-1
gas pipeline AT123 <-> AT121 (3),AT123,AT121,6900,0,0,2012,0,0,AGGM_pipeline127,-1
gas pipeline AT121 <-> AT312,AT121,AT312,3450,0,0,1978,0,0,AGGM_pipeline128,-1
gas pipeline AT313 <-> AT312,AT313,AT312,3220,0,0,2007,0,0,AGGM_pipeline129,-1
gas pipeline AT313 <-> AT312 (2),AT313,AT312,2645,0,0,1979,0,0,AGGM_pipeline130,-1
gas pipeline DE2 -> AT313,DE2,AT313,6000,0,0,1979,0,0,AGGM_pipeline131,0
gas pipeline DE2 -> AT313 (2),DE2,AT313,6000,0,0,2026,0,0,AGGM_pipeline132,0
gas pipeline AT313 -> DE2,AT313,DE2,7774,0,0,1979,0,0,AGGM_pipeline133,0
gas pipeline AT313 -> DE2 (2),AT313,DE2,7774,0,0,2026,0,0,AGGM_pipeline134,0
