ID,Plz,Ort,Bundesland,Energieträger,Technologie,Engpassleistung (kW <sub>el</sub>),Eingespeister Strom (kWh) 2026,Eingespeister Strom (kWh) 2025,Eingespeister Strom (kWh) 2024,Eingespeister Strom (kWh) 2023,Eingespeister Strom (kWh) 2022,Eingespeister Strom (kWh) 2021
78,8600,Bruck an der Mur,ST,,Klärgas,80,0,0,0,0,0,0
80,8943,Aigen im Ennstal,ST,,Biogas,100,3441,25424,27708,552,71325,265518
85,8321,St. Margarethen/Raab,ST,,Biogas,500,0,0,0,0,0,0
93,8410,Wildon,ST,,Biogas,500,128963,1605636,2159516,3633206,3586432,4153954
97,8130,Frohnleiten,ST,,Deponiegas,600,1263,17590,554771,852272,982655,419322
124,8522,Groß Sankt Florian,ST,,Biogas,500,1395736,4039644,3852973,4200125,4409430,4241371
126,8954,Mitterberg-Sankt Martin,ST,,Biogas,180,84652,306893,312067,271782,370408,175692
128,8523,Frauental/Laßnitz,ST,,Biogas,336,530661,2101164,2115779,2157217,2172514,2511480
130,8961,Großsölk,ST,,Biogas,50,0,0,0,0,0,0
142,8265,Groß Steinbach,ST,,Biogas,40,42400,99225,53079,113964,78322,107480
143,8072,Fernitz-Mellach,ST,,Biogas,210,0,0,245187,0,758153,1396744
147,8483,Deutsch Goritz,ST,,Biogas,500,1423798,4184840,4156181,4226006,3861787,4229531
148,8831,Niederwölz,ST,,Biogas,20,53547,34816,0,0,0,0
150,8522,Groß Sankt Florian,ST,,Biogas,100,209422,840714,820853,782597,818460,850969
158,8083,St. Stefan,ST,,Biogas,1800,2712641,7770659,468480,0,1777633,7931369
166,8321,St. Margarethen an der Raab,ST,,Biogas,500,0,0,0,0,809289,4075242
167,8221,KG Hofing,ST,,Biogas,114,0,0,0,0,0,0
171,8724,Spielberg,ST,,Biogas,70,458,1778,2387,624,0,0
175,8341,Paldau,ST,,Biogas,650,736706,1847154,2081764,2042980,2078026,2500370
182,8413,Ragnitz,ST,,Biogas,500,0,0,0,0,0,0
185,8211,Albersdorf-Prebuch,ST,,Biogas,100,0,0,0,0,0,0
195,8311,Markt Hartmannsdorf,ST,,Deponiegas,90,0,0,0,0,0,0
204,8101,Gratkorn,ST,,Biogas,140000,0,381971,388606,381005,361957,556323
207,8041,Graz,ST,,Deponiegas,250,0,0,0,0,0,0
211,8283,Bad Blumau,ST,,Biogas,500,1379363,3705543,4095680,4278944,4260062,4264571
216,8280,Fürstenfeld,ST,,Biogas,500,1364435,3907998,4357634,3926609,870076,4036053
239,8700,Leoben,ST,,Biogas,455,530365,2675942,3001897,2976620,3008707,2639599
243,8480,Mureck,ST,,Biogas,500,456007,1385410,1427806,1504865,1514593,1096057
